reference,titre,acheteur,type_acheteur,fonction_publique,sous_type_fonction_publique,procedure_label,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification
MO-9589316,Infogérance du système d'information de l'INSEAMM.,ESADMM,inconnu,inconnue,,,MAPA,services,tic,72500000,72500000|15323409|00590169|00650699,13 - MARSEILLE,2026-05-29 00:00:00,,,,,missing,ao-9589316-1.html,MARCHES_ONLINE,false,,
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,MINDEF/DIRISI/Bureau Marchés.,etat,etat,,,MAPA,services,tic,72220000,72220000|15326176|00590169|00650699,94 - MINISTERE DES ARMEES,2026-05-26 00:00:00,,,,,missing,ao-9591946-1.html,MARCHES_ONLINE,false,,
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",Gaz Electricité de Grenoble,inconnu,inconnue,,,MAPA,services,,72222300,72222300|72500000|15326779|00590169|00650699,38 - GRENOBLE,2026-05-26 00:00:00,,,,,missing,ao-9592936-1.html,MARCHES_ONLINE,false,,
MO-9594452,"Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV..",Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),etat,etat,,,MAPA,services,tic,72500000,72500000|72610000|72611000|72600000|15328955|00590169|00650699,75 - EPPGHV,2026-06-01 00:00:00,,,,,missing,ao-9594452-1.html,MARCHES_ONLINE,false,,
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,Ville de Paris,collectivite_territoriale,territoriale,,,MAPA,,,72250000,72250000|15329441|00590169|00650699,75 - VILLE DE PARIS,2026-06-09 00:00:00,,,,,missing,ao-9595379-1.html,MARCHES_ONLINE,false,,
MO-9595420,Tierce maintenance d'exploitation et de services des agences de l'eau.,Agence de l'Eau Seine Normandie,etablissement_public,etat,,,MAPA,,,72250000,72250000|72514000|15329482|00590169|00650699,92 - AGENCE DE L'EAU SEINE NORMANDIE,2026-05-26 00:00:00,,,,,missing,ao-9595420-1.html,MARCHES_ONLINE,false,,
MO-9596025,Prestations de services informatiques pour le développement et la maintenance des outils informatiques.,GCS UNIHA,inconnu,inconnue,,,MAPA,services,prestations_intellectuelles,72200000,72200000|72261000|72262000|15331741|00590169|00650699,69 - LYON,2026-06-02 00:00:00,,,,,missing,ao-9596025-2.html,MARCHES_ONLINE,false,,
MO-9596601,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité.",SPL SEMEA,inconnu,inconnue,,,MAPA,services,tic,72500000,72500000|72315200|72700000|15330787|00590169|00650699,16 - ANGOULEME,2026-06-02 00:00:00,,,,,missing,ao-9596601-1.html,MARCHES_ONLINE,false,,
MO-9596814,Prestations logicielles relatives aux automates industriels pour SOLEIL II.,Synchrotron Soleil,inconnu,inconnue,,,MAPA,services,prestations_intellectuelles,72600000,72600000|48100000|15330912|00590169|00650699,91 - SYNCHROTRON SOLEIL,2026-06-01 00:00:00,,,,,missing,ao-9596814-1.html,MARCHES_ONLINE,false,,
MO-9596821,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées.,SICIO,inconnu,inconnue,,,MAPA,fournitures,,72250000,72250000|15330919|00590169|00650699,94 - SICIO,2026-06-04 00:00:00,,,,,missing,ao-9596821-1.html,MARCHES_ONLINE,false,,
MO-9597280,"Fourniture, mise en oeuvre et maintien en condition opérationnelle de l'infrastructure informatique de CMC.",Centre Morbihan Communauté,inconnu,inconnue,,,MAPA,services,,72222300,72222300|48000000|72250000|15331955|00590169|00650699,56 - CC CENTRE MORBIHAN,2026-06-02 00:00:00,,,,,missing,ao-9597280-1.html,MARCHES_ONLINE,false,,
MO-9597894,"Renouvellement du système d'information, virtualisation de serveurs, plateforme de stockage et système de sauvegarde",Le Muretain Agglo,inconnu,inconnue,,,MAPA,services,fournitures_courantes_services,48800000,48800000|48822000|51611100|58005186|15332032|00590169|00650699,31 - MURET,2026-06-02 00:00:00,,,,,missing,ao-9597894-1.html,MARCHES_ONLINE,false,,
MO-9598475,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,inconnue,,,MAPA,services,prestations_intellectuelles,72600000,72600000|72263000|48820000|15332602|00590169|00650699,69 - LYON,2026-06-10 00:00:00,,,,,missing,ao-9598475-1.html,MARCHES_ONLINE,false,,
MO-9599071,"Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage ...",Région Grand Est,etat,etat,,,MAPA,services,tic,72253000,72253000|63120000|72250000|72600000|15333089|00590169|00650699,67 - REGION GRAND EST,2026-06-18 00:00:00,,,,,missing,ao-9599071-1.html,MARCHES_ONLINE,false,,
MO-9599869,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre.",GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,hopital,hospitaliere,,,MAPA,fournitures,fournitures_courantes_services,72500000,72500000|15333941|00590169|00650699,58 - NEVERS,2026-06-05 00:00:00,,,,,missing,ao-9599869-1.html,MARCHES_ONLINE,false,,
